"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","status","reviewNotes","ICES.confirmation","Observation..MD."
"SMK_01C","Age 1st cig","Age smoked first whole cigarette","Continuous","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_m::SMKA_01C, cchs2003_m::SMKC_01C, cchs2005_m::SMKE_01C, cchs2007_2008_m::SMK_01C, cchs2009_2010_m::SMK_01C, cchs2011_2012_m::SMK_01C, cchs2013_2014_m::SMK_01C, cchs2015_2016_m::SMK_035, cchs2017_2018_m::SMK_035, cchs2019_2020_m::SMK_035, cchs2021_m::SMK_035, cchs2022_m::CSS_10, cchs2023_m::CSS_10","smoking","Health behaviour","years","Universe: ever smoked 100+ cigarettes. Master file only. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Universe context added.",NA,NA
"SMK_040","Age daily (ever)","Age started smoking cigarettes daily (all ever-daily smokers)","Continuous","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_m::[SMKA_203, SMKA_207], cchs2003_m::[SMKC_203, SMKC_207], cchs2005_m::[SMKE_203, SMKE_207], cchs2007_2008_m::[SMK_203, SMK_207], cchs2009_2010_m::[SMK_203, SMK_207], cchs2011_2012_m::[SMK_203, SMK_207], cchs2013_2014_m::[SMK_203, SMK_207], cchs2015_2016_m::SMK_040, cchs2017_2018_m::SMK_040, cchs2019_2020_m::SMK_040, cchs2021_m::SMK_040, cchs2022_m::SPU_15, cchs2023_m::SPU_15","smoking","Health behaviour","years","Universe: all ever-daily smokers (current + former daily). Master file only. Pre-2015: combined from SMK_203 + SMK_207. Post-2015: direct source. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Universe context added.",NA,NA
"SMK_203","Age daily (curr)","Age started smoking cigarettes daily (current daily smokers)","Continuous","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_m::SMKA_203, cchs2003_m::SMKC_203, cchs2005_m::SMKE_203, cchs2007_2008_m::SMK_203, cchs2009_2010_m::SMK_203, cchs2011_2012_m::SMK_203, cchs2013_2014_m::SMK_203, cchs2015_2016_m::[SMK_005, SMK_040], cchs2017_2018_m::[SMK_005, SMK_040], cchs2019_2020_m::[SMK_005, SMK_040], cchs2021_m::[SMK_005, SMK_040], cchs2022_m::[CSS_05, SPU_15], cchs2023_m::[CSS_05, SPU_15]","smoking","Health behaviour","years","Universe: current daily smokers. Master file only. Pre-2015: direct source. Post-2015: derived from SMK_040 filtered by status. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Universe context added.",NA,NA
"SMK_207","Age daily (fmr)","Age started smoking cigarettes daily (former daily smokers)","Continuous","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_m::SMKA_207, cchs2003_m::SMKC_207, cchs2005_m::SMKE_207, cchs2007_2008_m::SMK_207, cchs2009_2010_m::SMK_207, cchs2011_2012_m::SMK_207, cchs2013_2014_m::SMK_207, cchs2015_2016_m::[SMK_005, SMK_030, SMK_040], cchs2017_2018_m::[SMK_005, SMK_030, SMK_040], cchs2019_2020_m::[SMK_005, SMK_030, SMK_040], cchs2021_m::[SMK_005, SMK_030, SMK_040], cchs2022_m::[CSS_05, SPU_05, SPU_15], cchs2023_m::[CSS_05, SPU_05, SPU_15]","smoking","Health behaviour","years","Universe: former daily smokers. Master file only. Pre-2015: direct source. Post-2015: derived from SMK_040 filtered by status. {sub_subject:initiation}",NA,"3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Universe context added.",NA,NA
"SMKDVSTP","Yrs quit smoking","Years since quit smoking completely (Master continuous)","Continuous","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP, cchs2023_m::SMKDVSTP","smoking","Health behaviour","years","Universe: former smokers. Master file only. StatCan derived continuous (0-88 years). Not available 2001.","StatCan derived variable for years since completely quit smoking.","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Master continuous pass-through.",NA,NA
"SMKDGSTP","Yrs quit (P cat)","Years since quit smoking completely (PUMF grouped categorical)","Categorical","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","smoking","Health behaviour","N/A","Universe: former smokers. PUMF 2015+ only. Grouped categories: 0=<1yr, 1=1-2yr, 2=3-5yr, 3=6-10yr, 4=11+yr.","StatCan derived variable grouped for disclosure control.","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only.",NA,NA
"SMKDGSTP_cont","Yrs quit smoking*","Years since quit smoking completely","Continuous","cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2007_2008_p::SMKDSTP, cchs2009_2010_p::SMKDSTP, cchs2011_2012_p::SMKDSTP, cchs2013_2014_p::SMKDSTP, cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP, cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP, cchs2023_m::SMKDVSTP","smoking","Health behaviour","years","Universe: former smokers. PUMF 2007-2014: pass-through continuous; PUMF 2015+: midpoint from SMKDGSTP; Master: pass-through continuous. Not available 2001, 2003-2005 PUMF.","Unified continuous years since quit. PUMF pre-2015 continuous, PUMF 2015+ midpoint imputed, Master continuous pass-through.","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. Follows 02-initiation _cont pattern.",NA,NA
"SMKG06C","Yrs quit occ","Years since stopped smoking - never daily occasional (PUMF categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG06C, cchs2005_p::SMKEG06C, [SMKG06C]","smoking","Health behaviour","years","Universe: former occasional (never daily). PUMF categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG09C","Yrs quit daily","Years since stopped smoking daily - former daily (PUMF categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, [SMKG09C]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMKG09C_cont","Yrs quit daily","Years since stopped smoking daily - former daily (PUMF continuous derived)","Continuous","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_p::SMKCG09C, cchs2005_p::SMKEG09C, cchs2015_2016_p::SMKG090, cchs2017_2018_p::SMKG090, [SMKG09C]","smoking","Health behaviour","years","Universe: former daily smokers. PUMF continuous derived. {recommended:secondary}","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_06A_A","Quit time occ (A)","When stopped smoking - never daily occasional (pre-2015 categorical)","Categorical","cchs2001_p, cchs2001_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","[SMKA_06A]","smoking","Health behaviour","N/A","Universe: former occasional (never daily). Pre-2015 categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_06A_B","Quit time occ (B)","When stopped smoking - never daily occasional (2015+ categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2003_p::SMKC_06A, cchs2005_p::SMKE_06A, cchs2015_2016_p::SMK_060, cchs2017_2018_p::SMK_060, cchs2003_m::SMKC_06A, cchs2005_m::SMKE_06A,  cchs2015_2016_m::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060, cchs2023_m::SPU_10, [SMK_06A]","smoking","Health behaviour","N/A","Universe: former occasional (never daily). 2015+ categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_06A_cont","Yrs quit (occ)","Years since stopped smoking (former occasional smokers, continuous)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m","cchs2001_p::SMKA_06A, cchs2001_m::SMKA_06A, cchs2003_p::SMKC_06A, cchs2003_m::SMKC_06A, cchs2005_p::SMKE_06A, cchs2005_m::SMKE_06A, cchs2015_2016_p::SMK_060, cchs2015_2016_m::SMK_060, cchs2017_2018_p::SMK_060, cchs2017_2018_m::SMK_060, cchs2019_2020_m::SMK_060, cchs2021_m::SMK_060, cchs2023_m::SPU_10, [SMK_06A]","smoking","Health behaviour","years","Universe: former occasional smokers. Converts categorical SMK_06A/SPU_10 to pseudo-continuous using midpoint. Not available 2022 (no categorical - uses SPU_10A/B month/year). Use SMKDVSTP for 2022.","Pseudo-continuous years since stopped smoking for former occasional smokers. Derived from categorical using midpoint conversion.","3.0.0-alpha","2026-01-11","active","Removed cchs2022_m - 2022 uses month/year (SPU_10A/B) not categorical. Added cchs2023_m::SPU_10.",NA,NA
"SMK_06C","Yrs quit occ","Years since stopped smoking - never daily occasional (Master continuous)","Continuous","cchs2009_m, cchs2010_m, cchs2012_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2014_m","[SMK_06C]","smoking","Health behaviour","years","Universe: former occasional (never daily). Master file continuous.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_09A","Quit time daily","When stopped smoking daily - former daily","Categorical","cchs2001_m, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_09A","smoking","Health behaviour","N/A","Universe: former daily smokers. Raw pass-through.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_09A_A","Quit time daily (A)","When stopped smoking daily - former daily (pre-2015 categorical)","Categorical","cchs2001_p, cchs2001_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_09A, cchs2001_m::SMKA_09A","smoking","Health behaviour","N/A","Universe: former daily smokers. Pre-2015 categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_09A_B","Quit time daily (B)","When stopped smoking daily - former daily (2015+ categorical)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2003_p::SMKC_09A, cchs2005_p::SMKE_09A, cchs2015_2016_p::SMK_080, cchs2017_2018_p::SMK_080, cchs2003_m::SMKC_09A, cchs2005_m::SMKE_09A, cchs2015_2016_m::SMK_080, cchs2017_2018_m::SMK_080, cchs2017_2018_m::SMK_080, cchs2019_2020_m::SMK_080, cchs2021_m::SMK_080, cchs2023_m::SPU_25, [SMK_09A]","smoking","Health behaviour","N/A","Universe: former daily smokers. 2015+ categorical.","","3.0.0-alpha","2026-01-04","active","Added from variable_details_draft.csv",NA,NA
"SMK_09A_cont","Yrs quit daily","Years since stopped smoking daily - former daily (continuous derived)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m","cchs2001_p::SMKA_09A, cchs2001_m::SMKA_09A, cchs2003_p::SMKC_09A, cchs2003_m::SMKC_09A, cchs2005_p::SMKE_09A, cchs2005_m::SMKE_09A, cchs2015_2016_p::SMK_080, cchs2015_2016_m::SMK_080, cchs2017_2018_p::SMK_080, cchs2017_2018_m::SMK_080, cchs2019_2020_m::SMK_080, cchs2021_m::SMK_080, cchs2023_m::SPU_25, [SMK_09A]","smoking","Health behaviour","years","Universe: former daily smokers. Converts categorical SMK_09A/SPU_25 to pseudo-continuous using midpoint. Not available 2022 (no categorical source - use SMKDVSTP). PUMF 2003-2018 also has grouped SMKG09C.","Pseudo-continuous years since stopped smoking daily for former daily smokers. Derived from categorical using midpoint conversion.","3.0.0-alpha","2026-01-11","active","Removed cchs2022_m - 2022 has no categorical quit timing (only SPU_25A/B month/year). Use SMKDVSTP for 2022.",NA,NA
"SMK_09C","Yrs quit daily","Years since stopped smoking daily - former daily (Master continuous)","Continuous","cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m","cchs2003_m::SMKC_09C, cchs2005_m::SMKE_09C, [SMK_09C]","smoking","Health behaviour","years","Universe: former daily smokers. Master file continuous. Not available 2001. For 2022+ use SMKDVSTP.","","3.0.0-alpha","2026-01-11","active","Fixed: Removed 2022_m (uses SMKDVSTP not SMK_09C). Corrected variableStart to use raw SMK_09C.",NA,NA
"SMK_10A_cont","Yrs quit (reducer)","Years since quit completely (former daily who continued occasional, continuous)","Continuous","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m","cchs2003_p::SMKC_10A, cchs2003_m::SMKC_10A, cchs2005_p::SMKE_10A, cchs2005_m::SMKE_10A, cchs2015_2016_p::SMK_100, cchs2015_2016_m::SMK_100, cchs2017_2018_p::SMK_100, cchs2017_2018_m::SMK_100, cchs2019_2020_m::SMK_100, cchs2021_m::SMK_100, cchs2023_m::SPU_35, [SMK_10A]","smoking","Health behaviour","years","Universe: former daily who continued occasional. Converts categorical SMK_10A/SPU_35 to pseudo-continuous using midpoint. Not available 2001, 2022 (no categorical - uses SPU_35A/B month/year). Use SMKDVSTP for 2022.","Pseudo-continuous years since quit completely for former daily who reduced to occasional. Derived from categorical using midpoint conversion.","3.0.0-alpha","2026-01-11","active","Removed cchs2022_m - 2022 uses month/year (SPU_35A/B) not categorical. Added cchs2023_m::SPU_35.",NA,NA
"SMK_10_gate","Quit gate","Quit completely when stopped daily (gate variable)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2003_p::[SMKC_10], cchs2005_p::[SMKE_10], cchs2007_2008_p::[SMK_10], cchs2009_2010_p::[SMK_10], cchs2011_2012_p::[SMK_10], cchs2013_2014_p::[SMK_10], cchs2015_2016_p::[SMK_095], cchs2017_2018_p::[SMK_095], cchs2003_m::[SMKC_10], cchs2005_m::[SMKE_10], cchs2007_2008_m::[SMK_10], cchs2009_2010_m::[SMK_10], cchs2011_2012_m::[SMK_10], cchs2013_2014_m::[SMK_10], cchs2015_2016_m::[SMK_095], cchs2017_2018_m::[SMK_095], cchs2019_2020_m::[SMK_095], cchs2021_m::[SMK_095], cchs2022_m::[SPU_30], cchs2023_m::[SPU_30]","smoking","Health behaviour","N/A","Universe: former daily smokers. Gate for quit pathway: 1=quit when stopped daily, 2=continued occasional. Not available 2001.","Determines if respondent quit completely when they stopped daily smoking or continued occasional smoking.","3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04. Universe context added.",NA,NA
"quit_pathway","Quit pathway","Smoking cessation pathway (direct, gradual, or former occasional)","Categorical","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMKDSTY_cat5, SMK_10_gate]","smoking","Health behaviour","N/A","Derived from SMKDSTY_cat5 and SMK_10_gate. Not available 2001 (no SMK_10_gate). {recommended:secondary}","Categorical indicator: 1=direct quit (quit when stopped daily), 2=gradual quit (continued occasional then quit), 3=former occasional (never daily)","3.0.0-alpha","2026-01-04","active","Labels updated 2026-01-04",NA,NA
"time_quit_smoking","Yrs quit smoking*","Years since quit smoking","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMK_09A_cont, SMK_06A_cont, SMKDVSTP]","smoking","Health behaviour","years","{recommended:primary} {sub_subject:cessation} Universe: all former smokers. Routes: PUMF uses SMK_09A_cont/SMK_06A_cont (midpoint-converted); Master 2003+ uses SMKDVSTP (StatCan derived continuous).","Unified continuous years since quit smoking. PUMF: midpoint from categorical; Master: SMKDVSTP pass-through.","3.0.0-alpha","2026-01-11","active","Fixed: Changed SPU_25 to SMKDVSTP for Master 2022/2023 (SPU_25 is categorical, SMKDVSTP is continuous).",NA,NA
"SMK_10A_A","Quit time reducer (A)","When quit completely - former daily continued occasional (pre-2015 categorical)","Categorical","cchs2003_p, cchs2003_m, cchs2005_p, cchs2005_m, cchs2007_2008_p, cchs2007_2008_m, cchs2009_2010_p, cchs2009_2010_m, cchs2011_2012_p, cchs2011_2012_m, cchs2013_2014_p, cchs2013_2014_m","cchs2003_p::SMKC_10A, cchs2005_p::SMKE_10A, cchs2003_m::SMKC_10A, cchs2005_m::SMKE_10A, [SMK_10A]","smoking","Health behaviour","N/A","Universe: former daily who continued occasional. Pre-2015 categorical (4 categories). Not available 2001.","","3.0.0-alpha","2026-01-05","active","Split from SMK_10A_cat 2026-01-05",NA,NA
"SMK_10A_B","Quit time reducer (B)","When quit completely - former daily continued occasional (2015+ categorical)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2023_m","cchs2015_2016_p::SMK_100, cchs2017_2018_p::SMK_100, cchs2015_2016_m::SMK_100, cchs2017_2018_m::SMK_100, cchs2019_2020_m::SMK_100, cchs2021_m::SMK_100, cchs2023_m::SPU_35","smoking","Health behaviour","N/A","Universe: former daily who continued occasional. 2015+ categorical (4 categories). Not available 2001, 2022.","","3.0.0-alpha","2026-01-05","active","Split from SMK_10A_cat 2026-01-05",NA,NA
"cigs_per_day","Cigs/day","Cigarettes per day when smoking daily (ever-daily smokers, unified)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","DerivedVar::[SMK_204, SMK_208, SMKDSTY_A]","smoking","Health behaviour","cigarettes","{recommended:primary} {sub_subject:intensity} Universe: ever-daily smokers (SMKDSTY_A 1, 2, 4). Combines current (SMK_204) and former (SMK_208) daily intensity.","Unified daily smoking intensity for pack-years and dose-response analyses.","3.0.0-alpha","2026-01-09","active","Created from SMK_204/SMK_208 unification","",NA
"SMK_204","Cigs/day (current)","Number of cigarettes smoked daily - daily smokers","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_204, cchs2003_p::SMKC_204, cchs2005_p::SMKE_204, cchs2015_2016_p::SMK_045, cchs2017_2018_p::SMK_045, [SMK_204]","smoking","Health behaviour","cigarettes","{recommended:secondary} {sub_subject:intensity} Universe: current daily smokers. Use cigs_per_day for unified daily intensity.",NA,"3.0.0-alpha","2026-01-04","active","Created from variable_details_draft.csv","ICES confirmed",NA
"SMK_208","Cigs/day (former)","Number of cigarettes smoked daily - former daily smokers","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_208, cchs2003_p::SMKC_208, cchs2005_p::SMKE_208, cchs2015_2016_p::SMK_075, cchs2017_2018_p::SMK_075, [SMK_208]","smoking","Health behaviour","cigarettes","{recommended:secondary} {sub_subject:intensity} Universe: former daily smokers. Use cigs_per_day for unified daily intensity.",NA,"3.0.0-alpha","2026-01-04","active","Created from variable_details_draft.csv","ICES confirmed",NA
"SMK_05B","Cigs/day (occ)","Number of cigarettes smoked daily - occasional smokers","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_m, cchs2010_m, cchs2012_m, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2010_m, cchs2012_m, cchs2014_m","cchs2001_p::SMKA_05B, cchs2003_p::SMKC_05B, cchs2005_p::SMKE_05B, cchs2015_2016_p::SMK_050, cchs2017_2018_p::SMK_050, [SMK_05B]","smoking","Health behaviour","cigarettes","Universe: current occasional smokers",NA,"3.0.0-alpha","2026-01-04","active","Created from variable_details_draft.csv","ICES confirmed",NA
